============================================================
  WATER NETWORK DEMAND SETUP: 2026-07-08 12:44:37.854844
============================================================
Config: avg_demand=0.003, dist=lognormal, mode=random, preserve_patterns=True

JUNCTION_ID          | BASE_DEMAND  | PATTERN_NAME   
------------------------------------------------------------
[MODE: PRESERVE DEMAND PATTERNS]

Junction_1454        | 0.0000       | PASS_THROUGH   
Junction_1455        | 0.0000       | PASS_THROUGH   
Junction_1456        | 0.0000       | PASS_THROUGH   
Junction_1457        | 0.0000       | PASS_THROUGH   
Junction_1458        | 0.0000       | PASS_THROUGH   
Junction_1459        | 0.0000       | PASS_THROUGH   
Junction_1460        | 0.0000       | PASS_THROUGH   
Junction_1461        | 0.0000       | PASS_THROUGH   
Junction_1462        | 0.0000       | PASS_THROUGH   
Junction_1463        | 0.0000       | PASS_THROUGH   
Junction_1464        | 0.0000       | PASS_THROUGH   
Junction_1465        | 0.0000       | PASS_THROUGH   
Junction_1466        | 0.0000       | PASS_THROUGH   
Junction_1467        | 0.0000       | PASS_THROUGH   
Junction_1468        | 0.0000       | PASS_THROUGH   
Junction_1469        | 0.0000       | PASS_THROUGH   
Junction_1470        | 0.0000       | Utenze_CSA     
Junction_1471        | 0.0000       | PASS_THROUGH   
Junction_1472        | 0.0000       | PASS_THROUGH   
Junction_1473        | 0.0000       | 1              
Junction_1474        | 0.0000       | Utenze_CSA     
Junction_1475        | 0.0000       | PASS_THROUGH   
Junction_1476        | 0.0000       | PASS_THROUGH   
Junction_1477        | 0.0000       | PASS_THROUGH   
Junction_1478        | 0.0000       | 1              
Junction_1479        | 0.0000       | PASS_THROUGH   
Junction_1480        | 0.0000       | PASS_THROUGH   
Junction_1481        | 0.0000       | PASS_THROUGH   
Junction_1482        | 0.0000       | PASS_THROUGH   
Junction_1483        | 0.0000       | PASS_THROUGH   
Junction_1484        | 0.0000       | 7              
Junction_1485        | 0.0000       | PASS_THROUGH   
Junction_1486        | 0.0000       | PASS_THROUGH   
Junction_1487        | 0.0000       | PASS_THROUGH   
Junction_1488        | 0.0000       | PASS_THROUGH   
Junction_1489        | 0.0000       | PASS_THROUGH   
Junction_1490        | 0.0000       | PASS_THROUGH   
Junction_1491        | 0.0000       | PASS_THROUGH   
Junction_1492        | 0.0000       | PASS_THROUGH   
Junction_1493        | 0.0000       | PASS_THROUGH   
Junction_1494        | 0.0000       | PASS_THROUGH   
Junction_1495        | 0.0000       | 1              
Junction_1496        | 0.0000       | 7              
Junction_1497        | 0.0000       | 1              
Junction_1498        | 0.0000       | 1              
Junction_1499        | 0.0000       | PASS_THROUGH   
Junction_1500        | 0.0000       | PASS_THROUGH   
Junction_1501        | 0.0000       | PASS_THROUGH   
Junction_1502        | 0.0000       | PASS_THROUGH   
Junction_1503        | 0.0000       | PASS_THROUGH   
Junction_1504        | 0.0000       | PASS_THROUGH   
Junction_1505        | 0.0000       | 1              
Junction_1506        | 0.0000       | PASS_THROUGH   
Junction_1507        | 0.0000       | 7              
Junction_1508        | 0.0000       | PASS_THROUGH   
Junction_1509        | 0.0000       | PASS_THROUGH   
Junction_1510        | 0.0000       | PASS_THROUGH   
Junction_1511        | 0.0000       | 7              
Junction_1528        | 0.0000       | PASS_THROUGH   
Junction_1529        | 0.0000       | Utenze_CSA     
Junction_1530        | 0.0000       | 7              
Junction_1531        | 0.0000       | PASS_THROUGH   
Junction_1532        | 0.0000       | PASS_THROUGH   
Junction_1533        | 0.0000       | PASS_THROUGH   
